Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 621 [0.60546875->0.6064453125]	286:336	1401:1402	1401:1403	1401:1404	1401:1405
Bucket 622 [0.6064453125->0.607421875]	1403:1534	1404:1534	1405:1534	1406:1534	1407:1534
Bucket 623 [0.607421875->0.6083984375]	696:755	1394:1677	1395:1677	1402:1534	2010:2152
Bucket 624 [0.6083984375->0.609375]	433:544	595:1434	615:627	1661:1716	1843:1977
Bucket 625 [0.609375->0.6103515625]	1217:1236	1310:1557	1521:1579	1557:1614	2185:2681
Bucket 626 [0.6103515625->0.611328125]	564:593	595:1557	595:1614	709:830	1217:1237
Bucket 627 [0.611328125->0.6123046875]	1532:1816	2231:2815	2305:3496	2327:3706	2327:3803
Bucket 628 [0.6123046875->0.61328125]	598:618	1431:1557	1512:1531	1513:1531	1514:1531
Bucket 629 [0.61328125->0.6142578125]	291:294	1703:1727	2104:3057	2202:3817	2291:3496
Bucket 630 [0.6142578125->0.615234375]	429:527	608:615	622:631	1490:1531	1493:1531
Bucket 631 [0.615234375->0.6162109375]	1217:1218	1492:1531	1494:1531	1703:1724	1709:1780
Bucket 632 [0.6162109375->0.6171875]	624:627	1216:1217	2205:2675	2234:2699	2305:3522
Bucket 633 [0.6171875->0.6181640625]	1650:1662	1658:1780	1797:1898	2212:3303	2234:4308
Bucket 634 [0.6181640625->0.619140625]	346:370	773:832	1613:1740	2079:2087	2115:3235
Bucket 635 [0.619140625->0.6201171875]	233:266	1703:1725	2152:2279	2212:3706	2251:3000
Bucket 636 [0.6201171875->0.62109375]	582:1509	611:635	1630:1848	1805:1816	2152:2282
Bucket 637 [0.62109375->0.6220703125]	607:622	618:624	622:637	2062:3959	2115:2480
Bucket 638 [0.6220703125->0.623046875]	331:335	618:637	1504:1531	1505:1531	2135:2682
Bucket 639 [0.623046875->0.6240234375]	1382:1427	1385:1427	1385:1428	2202:3873	2205:2297
Bucket 640 [0.6240234375->0.625]	607:611	611:612	1345:1557	1382:1428	1613:1816
Bucket 641 [0.625->0.6259765625]	621:701	696:757	1635:1807	1652:1780	1755:1782
Bucket 642 [0.6259765625->0.626953125]	1755:1778	1780:1824	2078:3772	2212:3287	2234:3392
Bucket 643 [0.626953125->0.6279296875]	624:631	1497:1503	1712:1824	2062:2919	2110:2205
Bucket 644 [0.6279296875->0.62890625]	230:244	1284:1557	1407:1427	1551:1613	1709:1712
Bucket 645 [0.62890625->0.6298828125]	607:637	1402:1427	1403:1427	1403:1428	1404:1427
Bucket 646 [0.6298828125->0.630859375]	1402:1428	1658:1712	1819:1840	2180:2647	2180:2652
Bucket 647 [0.630859375->0.6318359375]	1397:1431	1506:1531	1744:1780	2180:2650	2205:2512
Bucket 648 [0.6318359375->0.6328125]	1294:1557	1630:1783	1742:1770	2212:3392	2234:3255
Bucket 649 [0.6328125->0.6337890625]	1226:1248	1226:1251	1630:1744	1742:1771	2062:2706
Bucket 650 [0.6337890625->0.634765625]	1225:1248	1225:1251	1343:1358	1343:1359	1652:1783
Bucket 651 [0.634765625->0.6357421875]	608:622	622:627	1343:1500	1497:1600	1532:1613
Bucket 652 [0.6357421875->0.63671875]	622:624	1286:1343	2062:4308	2062:4696	2202:2706
Bucket 653 [0.63671875->0.6376953125]	211:230	616:635	1343:1348	2063:2251	2063:2254
Bucket 654 [0.6376953125->0.638671875]	582:1320	1652:1712	1700:1783	2010:2282	2062:2508
Bucket 655 [0.638671875->0.6396484375]	211:244	218:225	755:757	1709:1824	1718:1977
Bucket 656 [0.6396484375->0.640625]	1735:1770	1740:1805	2156:2205	2162:2205	2202:2673
Bucket 657 [0.640625->0.6416015625]	582:1240	1309:1543	1735:1771	1744:1824	2062:3498
Bucket 658 [0.6416015625->0.642578125]	636:735	665:741	1630:1815	2062:2861	2212:2893
Bucket 659 [0.642578125->0.6435546875]	613:635	618:635	1324:1343	1545:1573	1742:1781
Bucket 660 [0.6435546875->0.64453125]	218:227	711:832	743:832	2062:3754	2104:2678
Bucket 661 [0.64453125->0.6455078125]	656:735	1343:1354	1343:1361	1426:1543	1434:1614
Bucket 662 [0.6455078125->0.646484375]	281:291	618:622	707:735	745:1509	1866:1897
Bucket 663 [0.646484375->0.6474609375]	376:536	619:627	675:735	712:735	772:832
Bucket 664 [0.6474609375->0.6484375]	1630:1700	1755:1779	1947:2259	2087:2091	2323:2361
Bucket 665 [0.6484375->0.6494140625]	383:420	1557:1666	2062:2413	2078:2575	2079:2091
Bucket 666 [0.6494140625->0.650390625]	607:626	636:765	646:735	671:735	673:735
Bucket 667 [0.650390625->0.6513671875]	615:625	618:627	636:766	1700:1780	1755:1770
Bucket 668 [0.6513671875->0.65234375]	636:740	656:765	1113:1215	1630:1709	1658:1824
Bucket 669 [0.65234375->0.6533203125]	656:766	1629:1783	1738:1779	2062:3643	2062:3647
Bucket 670 [0.6533203125->0.654296875]	656:740	776:832	1363:1543	1630:1658	2062:2441
Bucket 671 [0.654296875->0.6552734375]	593:669	676:832	677:832	1213:1248	1213:1251
Bucket 672 [0.6552734375->0.65625]	527:540	595:1294	646:765	754:1290	1549:1584
Bucket 673 [0.65625->0.6572265625]	616:624	616:627	646:766	747:832	790:832
Bucket 674 [0.6572265625->0.658203125]	707:765	707:766	748:832	1345:1614	1658:1783
Bucket 675 [0.658203125->0.6591796875]	225:227	593:594	596:741	712:765	742:832
Bucket 676 [0.6591796875->0.66015625]	423:536	572:669	598:611	675:765	675:766
Bucket 677 [0.66015625->0.6611328125]	671:765	673:765	675:740	735:766	745:1320
Bucket 678 [0.6611328125->0.662109375]	646:740	671:766	673:766	712:740	774:832
Bucket 679 [0.662109375->0.6630859375]	536:540	595:1666	1629:1824	1700:1848	1703:1717
Bucket 680 [0.6630859375->0.6640625]	595:1431	671:740	673:740	1398:1556	1652:1815
Bucket 681 [0.6640625->0.6650390625]	568:593	1742:1764	2062:2291	2244:2515	2305:3965
Bucket 682 [0.6650390625->0.666015625]	622:635	1401:1427	1401:1428	1635:1928	1703:1739
Bucket 683 [0.666015625->0.6669921875]	572:594	608:631	735:740	1735:1782	1819:1836
Bucket 684 [0.6669921875->0.66796875]	568:572	745:1240	1630:1652	1735:1763	2104:3000
Bucket 685 [0.66796875->0.6689453125]	562:764	1740:1816	2062:2234	2062:3328	2244:2383
Bucket 686 [0.6689453125->0.669921875]	1630:1824	1738:1778	2062:3303	2212:4002	2327:3965
Bucket 687 [0.669921875->0.6708984375]	343:352	704:983	1718:1876	1737:1781	2104:2726
Bucket 688 [0.6708984375->0.671875]	343:357	1088:1399	1310:1614	1427:1497	1428:1497
Bucket 689 [0.671875->0.6728515625]	798:823	1319:1339	1735:1764	1738:1763	1754:1873
Bucket 690 [0.6728515625->0.673828125]	798:822	1345:1434	1520:1575	1653:1780	2202:2965
Bucket 691 [0.673828125->0.6748046875]	1214:1248	1214:1251	1754:1935	2062:3287	2202:3328
Bucket 692 [0.6748046875->0.67578125]	1629:1652	1703:1726	2104:2682	2202:3287	2323:3328
Bucket 693 [0.67578125->0.6767578125]	1294:1434	1744:1815	2323:3287	2323:3303	2380:2597
Bucket 694 [0.6767578125->0.677734375]	343:353	1738:1764	2380:2523	2508:2597	2666:3000
Bucket 695 [0.677734375->0.6787109375]	1284:1434	1294:1345	2062:3194	2202:2984	2202:3194
Bucket 696 [0.6787109375->0.6796875]	562:716	2234:3873	2508:3089	2597:3817	2673:3873
Bucket 697 [0.6796875->0.6806640625]	342:359	342:362	568:669	2234:3959	2323:3194
Bucket 698 [0.6806640625->0.681640625]	342:361	1319:1414	1319:1416	1319:1420	1319:1425
Bucket 699 [0.681640625->0.6826171875]	1284:1294	1319:1413	1319:1415	1319:1417	1319:1419
Bucket 700 [0.6826171875->0.68359375]	1629:1848	1737:1782	1815:1848	1838:1840	2062:2893
Bucket 701 [0.68359375->0.6845703125]	594:669	1520:1591	1572:1628	1737:1763	2104:2262
Bucket 702 [0.6845703125->0.685546875]	619:631	1046:1047	1294:1431	1401:1534	1629:1712
Bucket 703 [0.685546875->0.6865234375]	342:377	429:536	1431:1614	2323:3417	2413:3873
Bucket 704 [0.6865234375->0.6875]	1899:2029	2212:2921	2305:3588	2362:2584	2488:3498
Bucket 705 [0.6875->0.6884765625]	318:331	1628:1644	1653:1712	1847:1884	2062:2323
Bucket 706 [0.6884765625->0.689453125]	568:594	786:832	1046:1064	1700:1815	2202:2893
Bucket 707 [0.689453125->0.6904296875]	781:832	1431:1434	1652:1744	2062:2773	2361:3873
Bucket 708 [0.6904296875->0.69140625]	1019:1046	1225:1347	1226:1347	1653:1824	2063:3211
Bucket 709 [0.69140625->0.6923828125]	598:613	618:631	1653:1815	2305:3096	2305:3498
Bucket 710 [0.6923828125->0.693359375]	528:539	1046:1071	1226:1346	1248:1585	1251:1585
Bucket 711 [0.693359375->0.6943359375]	1225:1346	1294:1310	1591:1610	2363:2699	2366:2699
Bucket 712 [0.6943359375->0.6953125]	1226:1336	1434:1666	1700:1709	2262:2666	2291:3498
Bucket 713 [0.6953125->0.6962890625]	1225:1336	1226:1585	1294:1666	2212:3873	2324:2761
Bucket 714 [0.6962890625->0.697265625]	896:981	1225:1265	1225:1585	1226:1265	1226:1269
Bucket 715 [0.697265625->0.6982421875]	1225:1269	1658:1815	1709:1783	1754:1791	2085:2106
Bucket 716 [0.6982421875->0.69921875]	590:1523	591:1523	1520:1572	2180:3066	2234:2884
Bucket 717 [0.69921875->0.7001953125]	780:832	1041:1046	1614:1666	2488:3273	2706:3096
Bucket 718 [0.7001953125->0.701171875]	525:539	1046:1061	1226:1300	1240:1320	1658:1700
Bucket 719 [0.701171875->0.7021484375]	1046:1085	1225:1300	1556:1644	2185:2726	2212:2699
Bucket 720 [0.7021484375->0.703125]	565:566	1251:1347	2234:2913	2305:3265	2413:2984
Bucket 721 [0.703125->0.7041015625]	359:384	362:384	855:1127	1046:1060	1047:1071
Bucket 722 [0.7041015625->0.705078125]	361:384	1047:1060	1047:1064	1213:1347	1248:1558
Bucket 723 [0.705078125->0.7060546875]	540:544	608:627	625:627	1047:1085	1248:1346
Bucket 724 [0.7060546875->0.70703125]	433:540	773:781	1226:1253	1251:1336	2185:2682
Bucket 725 [0.70703125->0.7080078125]	680:764	1213:1346	1225:1253	1248:1336	1532:1551
Bucket 726 [0.7080078125->0.708984375]	695:764	773:786	896:1021	1213:1336	1225:1255
Bucket 727 [0.708984375->0.7099609375]	318:335	697:764	1213:1585	1225:1558	2234:2706
Bucket 728 [0.7099609375->0.7109375]	945:1127	1575:1610	2291:2789	2327:2789	2523:2706
Bucket 729 [0.7109375->0.7119140625]	328:363	773:780	2234:2673	2305:2856	2305:2984
Bucket 730 [0.7119140625->0.712890625]	1287:1496	1653:1744	2063:2682	2135:2136	2168:2176
Bucket 731 [0.712890625->0.7138671875]	680:716	1019:1085	1248:1300	1251:1300	1565:1642
Bucket 732 [0.7138671875->0.71484375]	608:625	695:716	697:716	1060:1064	1213:1300
Bucket 733 [0.71484375->0.7158203125]	1041:1047	1061:1064	1309:1339	1428:1503	1652:1658
Bucket 734 [0.7158203125->0.716796875]	896:991	1819:1827	2185:2262	2212:2984	2234:3015
Bucket 735 [0.716796875->0.7177734375]	527:544	774:780	1060:1071	1592:1628	2063:2357
Bucket 736 [0.7177734375->0.71875]	590:1377	591:1377	1214:1347	1629:1709	1836:1838
Bucket 737 [0.71875->0.7197265625]	1019:1071	1214:1585	1520:1592	1949:2259	2124:2591
Bucket 738 [0.7197265625->0.720703125]	625:631	1041:1064	1041:1085	1061:1071	1061:1085
Bucket 739 [0.720703125->0.7216796875]	676:780	677:780	1019:1064	1213:1265	1213:1269
Bucket 740 [0.7216796875->0.72265625]	896:899	896:902	896:903	896:904	896:905
Bucket 741 [0.72265625->0.7236328125]	896:917	896:920	896:921	896:922	896:923
Bucket 742 [0.7236328125->0.724609375]	1019:1060	1398:1520	1556:1592	1575:1628	1591:1638
Bucket 743 [0.724609375->0.7255859375]	1320:1509	1750:1786	2063:2676	2063:2678	2212:3273
Bucket 744 [0.7255859375->0.7265625]	747:780	776:780	1226:1390	1226:1392	1503:1600
Bucket 745 [0.7265625->0.7275390625]	840:896	851:896	853:896	854:896	1225:1390
Bucket 746 [0.7275390625->0.728515625]	743:780	774:781	841:896	842:896	844:896
Bucket 747 [0.728515625->0.7294921875]	598:622	711:780	742:780	774:786	1214:1300
Bucket 748 [0.7294921875->0.73046875]	352:353	1398:1638	1884:2259	2185:2225	2185:2227
Bucket 749 [0.73046875->0.7314453125]	353:357	771:780	772:780	1121:1323	1248:1355
Bucket 750 [0.7314453125->0.732421875]	528:542	748:780	849:896	1019:1041	1214:1558
Bucket 751 [0.732421875->0.7333984375]	1041:1060	1060:1061	1225:1350	2199:3789	2223:2512
Bucket 752 [0.7333984375->0.734375]	562:680	595:1345	838:896	847:896	1284:1431
Bucket 753 [0.734375->0.7353515625]	846:896	1064:1085	1226:1355	1248:1321	1248:1325
Bucket 754 [0.7353515625->0.736328125]	562:695	562:697	848:896	1041:1061	1064:1071
Bucket 755 [0.736328125->0.7373046875]	1060:1085	1226:1238	1248:1328	2212:3089	2305:2523
Bucket 756 [0.7373046875->0.73828125]	773:835	1225:1238	1226:1262	1226:1325	1339:1363
Bucket 757 [0.73828125->0.7392578125]	676:786	677:786	1214:1255	1225:1260	1225:1262
Bucket 758 [0.7392578125->0.740234375]	812:1070	896:938	1213:1390	1213:1392	1214:1253
Bucket 759 [0.740234375->0.7412109375]	423:542	581:760	1225:1273	1226:1259	1226:1276
Bucket 760 [0.7412109375->0.7421875]	743:786	1225:1259	1225:1276	1225:1281	1225:1283
Bucket 761 [0.7421875->0.7431640625]	676:781	677:781	743:781	747:786	773:927
Bucket 762 [0.7431640625->0.744140625]	742:786	1225:1270	1226:1252	1226:1304	1556:1572
Bucket 763 [0.744140625->0.7451171875]	711:781	711:786	772:786	896:965	1225:1252
Bucket 764 [0.7451171875->0.74609375]	772:781	896:967	896:968	896:970	1213:1350
Bucket 765 [0.74609375->0.7470703125]	595:1284	747:781	748:781	748:786	771:786
Bucket 766 [0.7470703125->0.748046875]	742:781	896:969	896:971	1214:1265	2361:2913
Bucket 767 [0.748046875->0.7490234375]	1213:1355	1226:1263	1248:1263	1248:1279	1251:1263
Bucket 768 [0.7490234375->0.75]	771:781	1225:1263	1232:1323	1248:1270	1251:1270
Bucket 769 [0.75->0.7509765625]	895:896	1214:1390	1226:1278	1248:1252	1248:1254
Bucket 770 [0.7509765625->0.751953125]	893:896	894:896	1214:1392	1225:1278	1226:1277
Bucket 771 [0.751953125->0.7529296875]	838:1021	1107:1118	1213:1321	1213:1325	1225:1277
Bucket 772 [0.7529296875->0.75390625]	965:981	969:981	971:981	972:981	973:981
Bucket 773 [0.75390625->0.7548828125]	595:1310	968:981	1251:1276	2343:2675	2673:3265
Bucket 774 [0.7548828125->0.755859375]	966:981	967:981	970:981	1213:1328	1248:1273
Bucket 775 [0.755859375->0.7568359375]	1238:1248	1238:1251	1240:1509	1248:1275	1251:1275
Bucket 776 [0.7568359375->0.7578125]	1214:1350	1724:1768	1778:1779	2234:2984	2805:2925
Bucket 777 [0.7578125->0.7587890625]	896:931	896:934	896:935	896:936	896:939
Bucket 778 [0.7587890625->0.759765625]	893:981	894:981	1213:1296	1213:1302	1248:1259
Bucket 779 [0.759765625->0.7607421875]	895:981	976:981	1214:1355	1226:1279	1709:1744
Bucket 780 [0.7607421875->0.76171875]	342:384	598:624	896:937	896:940	1213:1262
Bucket 781 [0.76171875->0.7626953125]	868:896	870:896	873:896	885:896	889:896
Bucket 782 [0.7626953125->0.763671875]	785:819	838:981	858:896	861:896	896:949
Bucket 783 [0.763671875->0.7646484375]	871:896	934:981	935:981	941:981	947:981
Bucket 784 [0.7646484375->0.765625]	973:1021	1213:1276	1213:1277	1213:1278	1213:1281
Bucket 785 [0.765625->0.7666015625]	857:896	860:896	862:896	868:981	873:981
Bucket 786 [0.7666015625->0.767578125]	596:1333	838:899	838:907	857:981	858:981
Bucket 787 [0.767578125->0.7685546875]	425:535	838:903	838:904	838:905	838:908
Bucket 788 [0.7685546875->0.76953125]	838:902	838:906	863:896	863:981	869:896
Bucket 789 [0.76953125->0.7705078125]	423:528	598:635	1019:1047	1073:1079	1214:1304
Bucket 790 [0.7705078125->0.771484375]	893:1021	977:1021	978:1021	1214:1302	2291:4002
Bucket 791 [0.771484375->0.7724609375]	894:1021	1127:1130	1127:1131	1214:1296	1398:1628
Bucket 792 [0.7724609375->0.7734375]	838:840	838:844	838:845	838:850	838:851
Bucket 793 [0.7734375->0.7744140625]	903:1043	904:1043	905:1043	908:1043	909:1043
Bucket 794 [0.7744140625->0.775390625]	533:544	596:1295	917:938	917:1043	921:938
Bucket 795 [0.775390625->0.7763671875]	907:1040	934:1021	935:1021	939:1021	1073:1075
Bucket 796 [0.7763671875->0.77734375]	838:847	899:1040	903:1040	904:1040	905:1040
Bucket 797 [0.77734375->0.7783203125]	433:533	832:839	889:1021	902:1040	906:1040
Bucket 798 [0.7783203125->0.779296875]	838:841	838:917	838:921	838:923	838:924
Bucket 799 [0.779296875->0.7802734375]	359:377	362:377	838:843	840:938	841:1043
Bucket 800 [0.7802734375->0.78125]	361:377	865:1021	866:1021	869:1021	876:1021
Bucket 801 [0.78125->0.7822265625]	840:1040	851:1040	853:1040	854:1040	863:1021
Bucket 802 [0.7822265625->0.783203125]	773:790	844:1040	845:1040	847:938	850:1040
Bucket 803 [0.783203125->0.7841796875]	774:835	774:839	838:901	842:1043	891:991
Bucket 804 [0.7841796875->0.78515625]	841:938	906:938	917:966	917:967	917:970
Bucket 805 [0.78515625->0.7861328125]	665:1333	843:938	874:991	881:991	977:991
Bucket 806 [0.7861328125->0.787109375]	840:965	840:971	840:972	840:973	844:973
Bucket 807 [0.787109375->0.7880859375]	840:968	840:969	844:965	844:969	844:971
Bucket 808 [0.7880859375->0.7890625]	743:835	838:1043	840:966	840:967	840:970
Bucket 809 [0.7890625->0.7900390625]	711:835	844:966	844:967	844:970	845:966
Bucket 810 [0.7900390625->0.791015625]	423:539	772:835	838:1045	843:1040	847:973
Bucket 811 [0.791015625->0.7919921875]	840:977	841:973	846:1043	847:965	847:969
Bucket 812 [0.7919921875->0.79296875]	743:839	790:835	840:978	841:969	841:971
Bucket 813 [0.79296875->0.7939453125]	838:900	840:893	840:894	840:895	841:965
Bucket 814 [0.7939453125->0.794921875]	711:839	774:927	840:976	841:968	843:969
Bucket 815 [0.794921875->0.7958984375]	582:745	772:839	790:839	840:931	840:936
Bucket 816 [0.7958984375->0.796875]	676:835	677:835	774:930	840:937	840:940
Bucket 817 [0.796875->0.7978515625]	840:934	840:935	840:939	841:956	841:958
Bucket 818 [0.7978515625->0.798828125]	375:416	711:927	743:927	840:941	840:947
Bucket 819 [0.798828125->0.7998046875]	665:1295	711:930	743:930	838:941	838:951
Bucket 820 [0.7998046875->0.80078125]	624:635	776:835	838:842	838:897	838:962
Bucket 821 [0.80078125->0.8017578125]	375:545	572:593	676:839	677:839	772:927
Bucket 822 [0.8017578125->0.802734375]	310:317	776:839	790:930	832:927	838:964
Bucket 823 [0.802734375->0.8037109375]	310:316	747:835	832:835	838:891	838:947
Bucket 824 [0.8037109375->0.8046875]	742:835	748:835	790:927	832:930	838:928
Bucket 825 [0.8046875->0.8056640625]	771:835	838:876	838:877	838:888	838:977
Bucket 826 [0.8056640625->0.806640625]	676:927	677:927	677:930	742:839	747:839
Bucket 827 [0.806640625->0.8076171875]	676:930	841:868	841:870	841:873	841:892
Bucket 828 [0.8076171875->0.80859375]	423:525	776:927	838:849	838:881	838:886
Bucket 829 [0.80859375->0.8095703125]	748:839	771:839	776:930	838:864	838:874
Bucket 830 [0.8095703125->0.810546875]	838:872	838:875	838:913	841:863	843:859
Bucket 831 [0.810546875->0.8115234375]	774:790	838:879	838:929	843:865	843:866
Bucket 832 [0.8115234375->0.8125]	747:927	838:884	843:863	846:877	846:888
Bucket 833 [0.8125->0.8134765625]	747:930	748:927	843:958	843:960	843:964
Bucket 834 [0.8134765625->0.814453125]	748:930	842:971	842:972	842:973	843:947
Bucket 835 [0.814453125->0.8154296875]	525:542	742:927	742:930	842:965	842:969
Bucket 836 [0.8154296875->0.81640625]	771:927	771:930	842:968	843:932	848:874
Bucket 837 [0.81640625->0.8173828125]	842:966	842:967	842:970	843:891	843:928
Bucket 838 [0.8173828125->0.818359375]	857:900	858:900	859:1043	860:900	861:900
Bucket 839 [0.818359375->0.8193359375]	838:991	842:893	842:894	843:864	843:874
Bucket 840 [0.8193359375->0.8203125]	627:631	838:846	843:872	843:876	843:877
Bucket 841 [0.8203125->0.8212890625]	421:535	842:1040	843:929	857:1045	860:1045
Bucket 842 [0.8212890625->0.822265625]	375:424	858:1045	859:1045	861:1045	864:901
Bucket 843 [0.822265625->0.8232421875]	842:895	849:969	849:971	849:972	849:973
Bucket 844 [0.8232421875->0.82421875]	849:965	863:1045	871:1045	872:969	874:1040
Bucket 845 [0.82421875->0.8251953125]	842:942	849:968	857:991	859:991	860:991
Bucket 846 [0.8251953125->0.826171875]	842:943	842:944	846:938	849:966	849:967
Bucket 847 [0.826171875->0.8271484375]	842:948	842:950	842:952	849:1040	864:893
Bucket 848 [0.8271484375->0.828125]	849:893	849:894	868:976	872:895	873:976
Bucket 849 [0.828125->0.8291015625]	842:946	842:949	858:976	860:976	861:976
Bucket 850 [0.8291015625->0.830078125]	776:790	780:927	780:930	842:937	842:940
Bucket 851 [0.830078125->0.8310546875]	842:857	842:859	842:860	842:862	842:931
Bucket 852 [0.8310546875->0.83203125]	676:790	677:790	842:867	849:895	865:976
Bucket 853 [0.83203125->0.8330078125]	842:959	842:961	849:942	849:944	865:928
Bucket 854 [0.8330078125->0.833984375]	773:774	780:835	842:863	842:939	846:965
Bucket 855 [0.833984375->0.8349609375]	711:790	743:773	743:790	786:835	842:865
Bucket 856 [0.8349609375->0.8359375]	416:545	747:790	781:835	846:966	846:967
Bucket 857 [0.8359375->0.8369140625]	711:773	842:873	842:889	849:946	849:949
Bucket 858 [0.8369140625->0.837890625]	742:790	748:790	840:991	842:861	842:868
Bucket 859 [0.837890625->0.8388671875]	772:790	842:858	849:857	849:859	849:860
Bucket 860 [0.8388671875->0.83984375]	409:530	676:773	677:773	771:790	842:871
Bucket 861 [0.83984375->0.8408203125]	846:893	846:894	846:1040	849:934	849:935
Bucket 862 [0.8408203125->0.841796875]	842:885	842:890	846:895	849:863	849:865
Bucket 863 [0.841796875->0.8427734375]	416:424	773:776	838:848	857:891	858:953
Bucket 864 [0.8427734375->0.84375]	772:773	849:861	849:868	849:870	849:873
Bucket 865 [0.84375->0.8447265625]	844:991	845:991	849:858	850:991	857:953
Bucket 866 [0.8447265625->0.845703125]	786:927	786:930	846:942	846:943	846:944
Bucket 867 [0.845703125->0.8466796875]	655:698	747:773	846:937	846:940	846:946
Bucket 868 [0.8466796875->0.84765625]	742:773	781:927	781:930	848:938	849:885
Bucket 869 [0.84765625->0.8486328125]	533:540	849:890	857:881	858:878	858:880
Bucket 870 [0.8486328125->0.849609375]	539:542	650:698	847:991	857:874	857:883
Bucket 871 [0.849609375->0.8505859375]	645:647	748:773	771:773	780:790	841:991
Bucket 872 [0.8505859375->0.8515625]	530:567	662:698	846:859	846:867	846:934
Bucket 873 [0.8515625->0.8525390625]	464:530	476:530	846:931	846:936	859:864
Bucket 874 [0.8525390625->0.853515625]	440:530	441:530	443:530	444:530	445:530
Bucket 875 [0.853515625->0.8544921875]	453:530	460:530	480:530	861:884	863:884
Bucket 876 [0.8544921875->0.85546875]	649:698	846:868	846:873	846:889	871:884
Bucket 877 [0.85546875->0.8564453125]	846:858	846:861	846:870	846:892	846:991
Bucket 878 [0.8564453125->0.857421875]	457:530	848:969	862:884	867:884	896:932
Bucket 879 [0.857421875->0.8583984375]	477:530	848:966	848:967	848:968	848:970
Bucket 880 [0.8583984375->0.859375]	439:530	449:530	470:530	471:530	896:953
Bucket 881 [0.859375->0.8603515625]	451:530	456:530	463:530	467:530	473:530
Bucket 882 [0.8603515625->0.861328125]	848:893	855:1134	855:1136	884:896	1002:1054
Bucket 883 [0.861328125->0.8623046875]	654:698	655:659	786:790	846:871	846:885
Bucket 884 [0.8623046875->0.86328125]	855:1158	855:1165	855:1166	855:1184	855:1195
Bucket 885 [0.86328125->0.8642578125]	749:753	781:839	848:895	879:896	1076:1078
Bucket 886 [0.8642578125->0.865234375]	650:659	781:790	838:1040	872:896	878:896
Bucket 887 [0.865234375->0.8662109375]	848:1021	883:896	938:1040	1238:1328	1262:1328
Bucket 888 [0.8662109375->0.8671875]	648:659	842:991	848:901	874:896	2278:2414
Bucket 889 [0.8671875->0.8681640625]	896:955	945:1134	945:1136	945:1192	945:1199
Bucket 890 [0.8681640625->0.869140625]	524:530	780:839	900:953	900:955	900:957
Bucket 891 [0.869140625->0.8701171875]	897:900	899:900	900:907	900:918	945:1157
Bucket 892 [0.8701171875->0.87109375]	649:659	654:659	655:661	900:903	900:904
Bucket 893 [0.87109375->0.8720703125]	848:991	900:902	900:906	900:920	900:956
Bucket 894 [0.8720703125->0.873046875]	648:661	650:661	659:663	848:942	848:943
Bucket 895 [0.873046875->0.8740234375]	659:662	848:952	896:941	896:951	896:954
Bucket 896 [0.8740234375->0.875]	848:948	878:900	882:900	886:900	968:1040
Bucket 897 [0.875->0.8759765625]	649:661	848:949	900:963	966:1040	967:1040
Bucket 898 [0.8759765625->0.876953125]	654:661	659:698	840:900	848:899	848:907
Bucket 899 [0.876953125->0.8779296875]	848:857	848:859	848:860	848:862	848:903
Bucket 900 [0.8779296875->0.87890625]	655:657	655:660	661:663	848:867	848:918
Bucket 901 [0.87890625->0.8798828125]	421:425	661:662	848:902	848:906	888:900
Bucket 902 [0.8798828125->0.880859375]	650:657	659:660	660:662	667:813	841:900
Bucket 903 [0.880859375->0.8818359375]	297:304	650:660	657:659	657:662	848:865
Bucket 904 [0.8818359375->0.8828125]	667:788	849:991	876:896	896:964	901:991
Bucket 905 [0.8828125->0.8837890625]	657:698	660:698	840:848	848:851	848:900
Bucket 906 [0.8837890625->0.884765625]	844:900	845:900	848:934	848:935	848:939
Bucket 907 [0.884765625->0.8857421875]	848:917	848:921	848:922	848:923	848:924
Bucket 908 [0.8857421875->0.88671875]	525:528	667:804	855:1163	855:1189	878:1045
Bucket 909 [0.88671875->0.8876953125]	295:304	301:304	377:384	648:660	667:783
Bucket 910 [0.8876953125->0.888671875]	648:657	667:802	667:807	838:942	838:946
Bucket 911 [0.888671875->0.8896484375]	667:815	838:944	838:949	842:900	848:861
Bucket 912 [0.8896484375->0.890625]	654:657	654:660	838:871	843:848	848:853
Bucket 913 [0.890625->0.8916015625]	424:545	649:657	649:660	654:655	838:859
Bucket 914 [0.8916015625->0.892578125]	660:663	667:801	667:806	667:808	838:885
Bucket 915 [0.892578125->0.8935546875]	650:654	657:663	667:810	740:765	838:858
Bucket 916 [0.8935546875->0.89453125]	654:662	661:698	667:799	667:803	740:766
Bucket 917 [0.89453125->0.8955078125]	667:809	838:867	838:931	838:936	843:900
Bucket 918 [0.8955078125->0.896484375]	667:805	711:774	838:934	838:935	838:937
Bucket 919 [0.896484375->0.8974609375]	648:654	667:800	859:965	859:973	932:1045
Bucket 920 [0.8974609375->0.8984375]	667:792	677:774	838:865	838:866	838:869
Bucket 921 [0.8984375->0.8994140625]	667:789	667:791	676:774	848:885	857:971
Bucket 922 [0.8994140625->0.900390625]	667:795	848:890	859:966	859:967	859:968
Bucket 923 [0.900390625->0.9013671875]	649:654	667:784	706:739	838:971	838:972
Bucket 924 [0.9013671875->0.90234375]	654:663	772:774	838:943	838:950	849:981
Bucket 925 [0.90234375->0.9033203125]	774:776	846:1021	858:971	858:972	858:973
