Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 150 [0.582031->0.585938]	40:14147	40:14149	40:14151	40:14152	40:14154	40:14157	40:14158	374:3255	374:3266	386:51130
Bucket 151 [0.585938->0.589844]	40:14153	45:41430	45:41431	45:41432	374:3256	374:3261	412:36744	412:36755	418:10065	418:10076
Bucket 152 [0.589844->0.59375]	45:41424	45:41428	374:3246	374:3257	399:43878	399:43883	416:18946	416:18956	416:18957	416:18961
Bucket 153 [0.59375->0.597656]	45:41421	45:41423	412:36735	412:36746	412:36750	418:10056	418:10066	418:10069	421:47485	421:47489
Bucket 154 [0.597656->0.601562]	45:41427	374:3244	386:51131	386:51136	399:43872	399:43879	412:36739	416:18950	418:10060	418:10071
Bucket 155 [0.601562->0.605469]	45:41425	45:41426	386:51132	386:51141	399:43866	399:43868	418:10067	421:47483	423:38597	497:16482
Bucket 156 [0.605469->0.609375]	374:3250	386:51116	386:51125	416:18944	421:47480	515:39112	796:5128	1133:8297	1307:44582	2570:15430
Bucket 157 [0.609375->0.613281]	386:51119	399:43863	412:36733	418:10054	497:16475	524:50559	1038:30176	1096:3033	1096:3213	1120:8775
Bucket 158 [0.613281->0.617188]	412:36730	416:18941	447:33738	504:36538	635:26761	982:52441	1096:3156	1101:33052	1146:7931	1283:34771
Bucket 159 [0.617188->0.621094]	418:10051	423:38564	427:20840	788:38485	1149:46752	2256:48297	2258:42099	2434:10869	2774:47263	2778:36392
Bucket 160 [0.621094->0.625]	374:3208	374:3241	534:6882	1071:51504	1118:16648	1125:39711	1138:39254	1138:39267	1146:7937	1426:52591
Bucket 161 [0.625->0.628906]	374:3219	386:51121	421:47445	427:20818	607:45620	676:3726	1109:1504	1109:1518	1109:1520	1118:16637
Bucket 162 [0.628906->0.632812]	399:43830	412:36695	416:18906	418:10016	768:20809	773:50535	1118:16663	1133:8304	2500:17337	2598:35632
Bucket 163 [0.632812->0.636719]	374:3205	374:3206	386:51083	399:43828	412:36708	416:18919	418:10018	418:10029	1120:8782	1134:54948
Bucket 164 [0.636719->0.640625]	262:1158	374:3200	374:3202	386:51080	386:51081	399:43824	399:43825	399:43841	412:36697	421:47447
Bucket 165 [0.640625->0.644531]	374:3186	374:3193	386:51075	386:51077	386:51094	399:43822	613:19793	1071:51235	1172:7655	1209:15718
Bucket 166 [0.644531->0.648438]	38:23583	263:47403	386:51068	399:43827	423:38575	515:39117	703:41175	1071:51315	1129:24002	1138:39265
Bucket 167 [0.648438->0.652344]	386:51078	416:18908	418:10015	690:45747	1118:16652	1133:8295	1138:39252	1190:38781	1209:15748	1237:8805
Bucket 168 [0.652344->0.65625]	412:36692	412:36694	416:18903	416:18905	497:16491	517:30366	777:33798	788:38492	1134:54940	1172:7685
Bucket 169 [0.65625->0.660156]	21:53069	23:43604	374:3203	383:13717	1092:17998	1092:18073	1096:2893	1097:48966	1134:54937	1138:39257
Bucket 170 [0.660156->0.664062]	497:16481	969:54328	986:36315	1045:52838	1053:21040	1096:3030	1101:33045	1120:8791	1172:7660	1209:15723
Bucket 171 [0.664062->0.667969]	412:36691	777:33800	1045:52817	1053:20965	1096:3265	1244:32437	1304:5363	1423:13233	1428:45175	2500:17394
Bucket 172 [0.667969->0.671875]	629:52474	629:52479	982:52444	1034:46322	1146:7935	1153:31120	1190:38786	1313:21731	1374:44867	1374:44947
Bucket 173 [0.671875->0.675781]	1045:52914	1237:8810	1240:47810	1298:28406	2253:7366	2253:7369	2655:25018	2657:19406	3039:3880	3039:4030
Bucket 174 [0.675781->0.679688]	646:30363	1473:30522	1473:30523	2016:8903	2403:52927	2500:17214	2831:43869	3208:38461	3244:52471	3244:52472
Bucket 175 [0.679688->0.683594]	604:7842	629:52475	655:42584	1034:46274	1045:52839	1094:10169	1181:24063	2385:6447	2434:10926	2451:10496
Bucket 176 [0.683594->0.6875]	583:47766	2403:52838	2403:52924	2451:10570	2451:10571	2451:10573	2451:10577	2451:10581	2451:10582	2831:43885
Bucket 177 [0.6875->0.691406]	570:53333	628:6070	628:6072	628:6073	1138:39261	1140:31424	1937:17967	1937:17984	2275:39917	2385:6307
Bucket 178 [0.691406->0.695312]	602:16483	629:52500	788:38494	1441:47527	1451:10587	2273:46081	2273:46091	2273:46092	2273:46330	2275:39907
Bucket 179 [0.695312->0.699219]	228:54945	342:45232	628:6088	966:15848	971:46243	1040:22166	1086:42657	1088:34744	1101:33047	1656:26401
Bucket 180 [0.699219->0.703125]	1120:8787	1253:48449	1281:42408	1285:27155	1439:54924	1579:49144	1927:51346	1937:18005	1939:11313	2273:46045
Bucket 181 [0.703125->0.707031]	604:7884	796:5124	1656:26441	1937:17980	1937:17981	1939:11317	1939:11338	2251:13670	2251:13909	2273:45998
Bucket 182 [0.707031->0.710938]	602:16482	994:4101	1151:38931	1253:48401	1281:42360	1285:27107	1426:52540	1656:26411	1748:6427	1939:11324
Bucket 183 [0.710938->0.714844]	583:47770	659:25509	663:8440	664:54867	1426:52539	1426:52545	1965:25605	2432:16591	2655:25121	2930:32999
Bucket 184 [0.714844->0.71875]	1120:8785	1886:37937	1927:51347	1927:51385	1963:32234	1963:32241	2251:13624	2251:13882	2253:7703	2317:11409
Bucket 185 [0.71875->0.722656]	1151:38935	1428:45123	1656:26319	1656:26322	1656:26323	1656:26324	1656:26325	1656:26326	1656:26327	1656:26328
Bucket 186 [0.722656->0.726562]	969:54332	1086:42511	1088:34598	1246:24795	1248:17116	1551:49010	1555:34547	1576:9260	1578:2064	1656:26337
Bucket 187 [0.726562->0.730469]	966:15843	1369:12648	1371:5149	1378:29426	1428:45124	1428:45129	1432:30300	1548:9411	1553:41777	1559:20096
Bucket 188 [0.730469->0.734375]	53:3731	646:30338	648:21787	648:21808	1034:46238	1101:33056	1311:29355	1380:21940	1423:13181	1425:5761
Bucket 189 [0.734375->0.738281]	971:46246	1034:46253	1034:46255	1248:17122	1886:37893	1927:51360	1963:32255	1971:5757	2251:13714	2251:13716
Bucket 190 [0.738281->0.742188]	1070:4141	1096:2944	1246:24796	1246:24801	1248:17117	1371:5150	1371:5155	1426:52594	1432:30301	1432:30306
Bucket 191 [0.742188->0.746094]	583:47769	777:33806	1311:29356	1311:29361	1369:12654	1378:29427	1378:29432	1380:21941	1380:21946	1423:13187
