# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
289    31  262144  0.4   2351  0.193       0.231      0.209     NA         NA      NA        
290    31  262144  0.4   2352 NA          NA         NA          0.430      0.175   0.352    
291    31  262144  0.45  2699  0.240       0.193      0.215      0.420      0.154   0.177    
292    31  262144  0.5   2664  0.359       0.267      0.244      0.350      0.280   0.238    
293    31  262144  0.55  2442  0.168       0.208      0.148      0.175      0.282   0.189    
294    31  262144  0.6   2811  0.543       0.550      0.538      0.552      0.592   0.635    
295    31  262144  0.65  2691  0.762       0.752      0.765      0.755      0.752   1.09     
296    31  262144  0.7   2592  0.744       0.733      0.707      0.828      0.545   0.907    
297    31  262144  0.75  2917  1.34        1.47       1.18       1.66       1.08    1.23     
298    31  262144  0.8   2501  1.59        1.58       1.71       1.61       1.73    1.45     
299    31  262144  0.85  2777  2.69        2.55       2.86       2.48       2.97    2.45     
300    31  262144  0.9   2119  0.655       0.698      0.741      0.674      0.838   0.703    
301    31  262144  0.95  1770  0.420       0.449      0.453      0.494      0.493   0.454    
302    31  524288  0     2607  0.496       0.481      0.478     NA         NA      NA        
303    31  524288  0     2649 NA          NA         NA          1.41       1.41    1.38     
304    31  524288  0.05  2646  0.134       0.126      0.124     NA         NA      NA        
305    31  524288  0.05  2648 NA          NA         NA          0.280      0.276   0.270    
306    31  524288  0.1   2617  0.0796      0.0651     0.0568    NA         NA      NA        
307    31  524288  0.1   2600 NA          NA         NA          0.0810     0.0993  0.0868   
308    31  524288  0.15  2499  0.0472      0.0201     0.0222    NA         NA      NA        
309    31  524288  0.15  2494 NA          NA         NA          0.0783     0.0431  0.0702   
310    31  524288  0.2   2519  0.0732      0.0492     0.0536    NA         NA      NA        
311    31  524288  0.2   2502 NA          NA         NA          0.0823     0.0625  0.0788   
312    31  524288  0.25  2743  0.0755      0.0731     0.0497    NA         NA      NA        
313    31  524288  0.25  2740 NA          NA         NA          0.139      0.0361  0.0937   
314    31  524288  0.3   2446  0.121       0.171      0.121     NA         NA      NA        
315    31  524288  0.3   2445 NA          NA         NA          0.632      0.499   0.500    
316    31  524288  0.35  2839  0.146       0.210      0.136      0.203      0.104   0.220    
317    31  524288  0.4   2351  0.194       0.238      0.210      0.227      0.167   0.312    
318    31  524288  0.45  2699  0.199       0.200      0.243      0.221      0.127   0.235    
319    31  524288  0.5   2664  0.273       0.258      0.271      0.282      0.154   0.442    
320    31  524288  0.55  2442  0.132       0.187      0.162      0.155      0.137   0.211    
321    31  524288  0.6   2811  0.551       0.543      0.567      0.511      0.524   0.590    
322    31  524288  0.65  2691  0.764       0.758      0.787      0.668      0.664   0.864    
323    31  524288  0.7   2592  0.731       0.738      0.694      0.732      0.550   0.798    
324    31  524288  0.75  2917  1.39        1.34       1.20       1.56       1.06    1.33     
325    31  524288  0.8   2501  1.61        1.63       1.66       1.59       1.64    1.56     
326    31  524288  0.85  2777  2.70        2.66       2.80       2.49       2.90    2.71     
327    31  524288  0.9   2119  0.666       0.706      0.703     NA         NA      NA        
328    31  524288  0.9   2118 NA          NA         NA          0.675      0.720   0.778    
329    31  524288  0.95  1770  0.433       0.450      0.445      0.477      0.434   0.488    
330    71   16384  0    40417 98.0        90.5       85.8       NA         NA      NA        
331    71   16384  0.05  7598  1.76        0.268      0.269     NA         NA      NA        
332    71   16384  0.1   1973  0.509       0.107      0.0843    NA         NA      NA        
333    71   16384  0.15  1132  0.411       0.0609     0.0586    NA         NA      NA        
334    71   16384  0.2    112  0.0478      0.00940    0.00921   NA         NA      NA        
